title,source,originallink,pubDate,rule_score,semantic_score,classifier_score,agency_score,org_name,report_count,is_official_domain,verification_message,final_official_score,predicted_label
"한화생명 최대주주 한화, 한화생명 주식등의 수 244만290주 증가…총 지...",www.digitaltoday.co.kr,https://www.digitaltoday.co.kr/news/articleView.html?idxno=654550,"Tue, 07 Apr 2026 20:06:00 +0900",0.1232,0.1666,0.9985,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4219,공식성 낮음
"[기획]한국은행, 기준금리 전쟁 리스크에 ‘인하보다 동결’ 무게",www.m-economynews.com,https://www.m-economynews.com/news/article.html?no=66212,"Tue, 07 Apr 2026 19:52:00 +0900",0.2081,0.1298,0.9986,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.434,공식성 낮음
가계대출 문턱 더 높아지면 어쩌나,www.hidomin.com,https://www.hidomin.com/news/articleView.html?idxno=700371,"Tue, 07 Apr 2026 19:10:00 +0900",0.1234,0.0386,0.9978,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.3897,공식성 낮음
폴리마켓 사용자 지갑 자금 12억5000만달러…연 5400만달러 이자 수익 가...,www.tokenpost.kr,https://www.tokenpost.kr/news/breaking/347077,"Tue, 07 Apr 2026 18:42:00 +0900",0.128,0.0923,0.0183,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.0615,공식성 낮음
연체율 오르는데 금리 ‘고공행진’… 중소기업 자금조달 ‘빨간불’,www.dt.co.kr,https://www.dt.co.kr/article/12056208?ref=naver,"Tue, 07 Apr 2026 18:34:00 +0900",0.126,0.1222,0.9945,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4101,공식성 낮음
"[미리보는 금통위] 전쟁통, 이창용 고별 무대···금리 인상 단초 제시...",www.seoulfn.com,https://www.seoulfn.com/news/articleView.html?idxno=625823,"Tue, 07 Apr 2026 18:20:00 +0900",0.1236,0.2206,0.9988,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4356,공식성 낮음
한국은행 금통위 D-3… 매파 기조 확인될까,www.sisaweek.com,https://www.sisaweek.com/news/articleView.html?idxno=234733,"Tue, 07 Apr 2026 18:10:00 +0900",0.2075,0.1585,0.9989,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4411,공식성 낮음
"한은, 기준금리 동결 유력",www.mk.co.kr,https://www.mk.co.kr/article/12010559,"Tue, 07 Apr 2026 18:02:00 +0900",0.1242,0.1625,0.9988,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4213,공식성 낮음
"우리은행, 'Npay 머니 우리 통장' 이벤트 금리 75만좌로 확대",www.pointdaily.co.kr,https://www.pointdaily.co.kr/news/articleView.html?idxno=300146,"Tue, 07 Apr 2026 17:42:00 +0900",0.125,0.1308,0.9807,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4072,공식성 낮음
"한국은행, 대학생 통화정책 경시대회…수상팀 채용 우대",news.mtn.co.kr,https://news.mtn.co.kr/news-detail/2026040717251893992,"Tue, 07 Apr 2026 17:40:00 +0900",0.2925,0.2066,0.9989,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4744,공식성 낮음
"러 경제 한계 왔나…'산업 동맥' 철도 운송, 16년來 최저",www.hankyung.com,https://www.hankyung.com/article/2026040751441,"Tue, 07 Apr 2026 17:38:00 +0900",0.1232,0.0821,0.9847,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.396,공식성 낮음
[퇴근길머니] '역대급 성적표' 삼성전자…서울 휘발윳값 2천원,www.yonhapnewstv.co.kr,http://www.yonhapnewstv.co.kr/MYH202604071729229Z4,"Tue, 07 Apr 2026 17:30:00 +0900",0.2069,0.2417,0.9989,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4618,공식성 낮음
"CJ프레시웨이, 회사채 수요예측서 목표액 8배 모여",news.einfomax.co.kr,https://news.einfomax.co.kr/news/articleView.html?idxno=4408183,"Tue, 07 Apr 2026 17:28:00 +0900",0.1262,0.124,0.9984,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.412,공식성 낮음
중동戰 장기화에 가치주마저 '흔들',www.hankyung.com,https://www.hankyung.com/article/2026040750851,"Tue, 07 Apr 2026 17:22:00 +0900",0.124,0.0683,0.0273,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.0576,공식성 낮음
"[채권마감] 베어스팁, 유가 상승+트럼프 협상 시한 부담",www.etoday.co.kr,https://www.etoday.co.kr/news/view/2573615,"Tue, 07 Apr 2026 17:20:00 +0900",0.1286,0.1439,0.9989,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4177,공식성 낮음
"[더벨]CJ프레시웨이, 8배 오버부킹…언더금리 흥행",www.thebell.co.kr,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202604071651513200104239,"Tue, 07 Apr 2026 17:12:00 +0900",0.127,0.1534,0.9969,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.419,공식성 낮음
"[중동발 3고 쇼크⑤] 한전 이란 전쟁에 원가 압박 커져, 정부 전기요금...",www.businesspost.co.kr,https://www.businesspost.co.kr/BP?command=article_view&num=435131,"Tue, 07 Apr 2026 17:02:00 +0900",0.1246,0.1088,0.037,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.0713,공식성 낮음
이창용의 마지막 금통위 사흘 앞으로…고환율·고물가에 '동결' 무게,www.getnews.co.kr,https://www.getnews.co.kr/news/articleView.html?idxno=867230,"Tue, 07 Apr 2026 17:02:00 +0900",0.2071,0.1627,0.9988,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.442,공식성 낮음
[이슈앤피플] 이창용의 마지막 금통위…한미 통화정책 수장 교체 영향은...,mbnmoney.mbn.co.kr,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005808616,"Tue, 07 Apr 2026 16:56:00 +0900",0.1244,0.2461,0.9961,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.4413,공식성 낮음
"[중동발 3고 쇼크] ④한진그룹 중동사태에 '비상경영' 돌입, 조원태 대한...",www.businesspost.co.kr,https://www.businesspost.co.kr/BP?command=article_view&num=435134,"Tue, 07 Apr 2026 16:54:00 +0900",0.1252,0.1062,0.0203,0.0,,0,False,출처 기관을 확인할 수 없습니다.,0.065,공식성 낮음
